codmun;numero_unidades_locais;pessoal_ocupado_total;pessoal_ocupado_assalariado;salarios_e_outras_remuneracoes;salario_medio_mensal;numero_empresas_atuantes
110001;481;2368;1796;19146;1.9;475
110002;1995;16467;13740;157049;2.2;1943
110003;77;375;315;3699;1.9;77
110004;1493;13318;11424;132879;2.2;1446
110005;374;1901;1461;15552;1.9;366
110006;349;2130;1697;19804;2.1;345
110007;108;631;526;5613;2;108
110008;304;1008;781;7711;1.8;296
110009;542;3416;2762;32118;2.2;535
110010;614;3643;3016;33946;2.1;592
110011;1038;8441;7232;79744;2;1011
110012;2493;22234;19163;206891;2;2364
110013;387;2397;1984;22777;2.1;377
110014;206;1414;1109;12693;2.2;206
110015;837;5597;4590;44001;1.8;823
110018;870;6989;5958;59285;1.8;851
110020;8434;139797;130100;2541794;3.8;7960
110025;381;2140;1775;16871;1.9;378
110026;21;331;311;3101;1.9;21
110028;947;9326;8043;74184;1.7;935
110029;122;820;673;6166;1.7;122
110030;2240;16549;13496;165920;2.4;2178
110032;291;1663;1364;14396;2;288
110033;129;1478;1329;15190;2.1;125
110034;393;1626;1240;9817;1.6;387
110037;140;870;685;7012;2;140
110040;269;1395;1140;13125;2.1;269
110045;455;3085;2567;25201;1.8;451
110050;112;684;559;5364;1.8;112
110060;44;385;332;3741;2.1;44
110070;65;588;520;5154;1.9;64
110080;215;1278;1049;12147;2;211
110090;35;299;281;2961;1.8;35
110092;134;1312;1145;13847;2.2;134
110094;338;1761;1324;14946;2.1;336
110100;84;551;466;6229;2.4;84
110110;81;891;812;8426;1.8;80
110120;70;703;596;7154;2.2;69
110130;170;1083;909;9555;2;170
110140;137;1182;989;10267;2;134
110143;131;534;384;3925;2;131
110145;33;331;285;2617;1.7;33
110146;12;150;136;2403;2.3;12
110147;21;277;263;2400;1.6;21
110148;69;282;211;2827;1.9;69
110149;243;1300;1004;10871;1.9;240
110150;143;811;715;6674;1.8;136
110155;42;384;341;3408;1.9;42
110160;48;588;545;7173;2.4;47
110170;151;1061;640;7830;2.4;149
110175;65;568;498;5534;2.2;65
110180;89;589;492;4722;2;89
120001;104;695;588;6692;1.9;104
120005;63;354;303;3432;2.1;63
120010;262;1276;1055;9221;1.5;259
120013;50;416;399;4074;1.7;50
120017;53;524;466;5332;2.3;53
120020;1023;5981;4986;43070;1.7;987
120025;176;1060;894;7865;1.7;176
120030;264;1258;1055;12421;2.2;261
120032;19;178;173;1291;1.4;19
120033;90;438;384;4954;2;90
120034;47;447;412;3674;1.9;47
120035;20;853;841;8619;1.8;19
120038;159;859;731;9677;2.1;158
120039;25;359;334;2924;1.6;25
120040;5520;83856;78338;1556196;3.7;5246
120042;40;442;429;4383;1.9;40
120043;8;244;238;2525;2;8
120045;152;2036;1921;15212;1.5;152
120050;273;1478;1249;16439;2.5;271
120060;260;1562;1344;13342;1.9;254
120070;169;817;624;5913;1.8;167
120080;91;602;495;5355;2.1;89
130002;33;526;505;4293;1.5;32
130006;15;383;369;3761;2.1;15
130008;36;330;306;2436;1.5;35
130010;57;76;26;214;1.5;57
130014;178;874;731;6789;1.9;176
130020;25;677;656;5851;1.8;24
130030;99;471;394;3523;1.7;98
130040;63;833;784;6592;1.6;62
130050;65;821;762;6532;1.6;63
130060;101;833;734;7588;2.2;101
130063;62;98;49;388;1.5;62
130068;77;380;325;2296;1.3;77
130070;317;1573;1263;10953;1.6;310
130080;83;1585;1510;12627;1.6;81
130083;26;621;609;4466;1.4;25
130090;24;256;241;838;0.7;24
130100;202;988;803;7569;1.8;201
130110;52;1048;988;8535;1.7;50
130115;21;713;691;6280;1.9;21
130120;492;6819;6382;286167;7.9;480
130130;96;835;765;7516;2;94
130140;233;399;174;1945;2.1;228
130150;70;788;725;6256;1.7;70
130160;135;143;17;316;2.8;135
130165;32;519;483;3112;1.2;32
130170;308;2129;1843;18170;1.7;305
130180;46;387;353;3066;1.8;45
130185;155;2843;2697;22550;1.7;154
130190;930;8076;7164;84673;2.2;909
130195;22;419;406;3691;1.9;22
130200;37;384;354;3713;1.6;37
130210;12;357;352;2571;1.4;10
130220;86;613;532;4552;1.7;86
130230;45;584;547;1485;0.5;45
130240;135;1378;1253;13578;2.1;132
130250;918;4850;4017;71537;3.3;898
130255;52;1022;945;8002;1.8;52
130260;21798;458853;433755;8457406;3.7;20005
130270;493;1472;967;10583;1.9;488
130280;37;566;544;3845;1.6;37
130290;481;2888;2587;22242;1.6;480
130300;127;701;564;6263;1.6;125
130310;74;1058;992;8437;1.7;73
130320;160;449;299;5309;1.8;157
130330;119;587;433;4189;1.8;118
130340;845;6654;5860;51965;1.9;831
130350;109;529;441;2931;1.2;109
130353;207;4144;3975;67360;2.9;202
130356;96;1718;1565;14071;2;95
130360;21;222;209;1831;1.6;21
130370;29;638;614;5908;1.9;29
130380;214;2139;1863;24526;2.1;199
130390;44;442;409;1532;0.7;44
130395;29;268;251;1939;1.5;29
130400;43;76;41;250;1.3;43
130406;320;2231;1881;19199;1.9;311
130410;39;823;793;4840;1.1;39
130420;494;2549;2071;21230;1.8;482
130423;17;326;313;1541;0.9;17
130426;54;198;155;766;0.9;54
130430;63;844;790;6629;1.6;63
130440;94;629;550;4435;1.6;92
140002;18;325;319;2419;1.5;18
140005;68;574;514;4097;1.5;68
140010;5540;70850;64629;1245522;3.6;5281
140015;39;491;444;3610;1.6;39
140017;89;746;637;4825;1.4;88
140020;142;957;740;11420;1.9;140
140023;50;225;182;2630;1.3;50
140028;91;348;274;2308;1.5;91
140030;173;822;680;5437;1.5;173
140040;27;206;181;1090;1.1;27
140045;147;563;401;3462;1.7;143
140047;211;847;637;3534;1.1;209
140050;49;257;220;1156;1.1;49
140060;64;352;299;1026;0.6;64
140070;10;133;127;1037;1.5;10
150010;936;7285;6267;57250;1.8;917
150013;64;642;576;4090;1.3;64
150020;96;2385;2318;26493;1.9;95
150030;56;1774;1727;18007;2.1;53
150034;72;521;452;4687;2.1;72
150040;411;2558;1822;19011;1.8;407
150050;509;7829;7262;124136;3;496
150060;1483;10964;9239;97397;2;1455
150070;54;386;341;3298;1.8;53
150080;3875;53987;49146;561180;2.2;3744
150085;94;366;250;2231;1.6;94
150090;133;1478;1395;13270;1.8;133
150095;63;819;774;9124;2.2;63
150100;58;838;816;7165;1.7;57
150110;43;275;236;2028;1.6;42
150120;122;1510;1369;12202;1.8;121
150125;21;216;200;1972;1.9;21
150130;1007;19961;18771;379004;3.6;969
150140;18988;380673;356276;6841915;3.6;17581
150145;62;1047;976;9555;1.9;61
150150;387;4919;4460;48599;2;378
150157;112;947;846;13232;3.1;112
150160;20;448;421;2091;1.2;20
150170;746;4940;4231;40463;1.9;725
150172;131;858;754;7317;1.9;131
150175;36;387;357;2057;1.1;36
150178;323;3229;2862;39895;2.4;320
150180;562;4954;4374;49794;2;551
150190;69;835;789;4742;1.2;69
150195;75;518;478;1506;0.6;75
150200;46;735;726;6004;1.6;46
150210;463;4860;4487;45302;2;460
150215;300;3327;3035;50058;3.1;298
150220;717;5416;4580;42487;1.8;704
150230;356;1426;1163;9744;1.4;355
150240;2226;25964;23136;198176;1.6;2165
150250;9;266;262;7273;1.9;9
150260;20;268;259;2239;1.7;20
150270;568;3742;3202;41446;2.3;559
150275;95;1250;1148;11848;1.9;95
150276;56;898;863;8518;1.8;55
150277;96;697;612;5078;1.6;96
150280;28;419;396;4442;2.1;28
150285;29;498;476;3525;1.4;29
150290;141;828;713;7707;1.8;139
150293;557;4955;4321;41035;1.7;552
150295;206;1332;1140;8017;1.3;205
150300;37;407;324;3012;1.7;37
150304;93;1129;1078;13623;2.4;92
150307;63;1277;1253;8382;1.3;63
150309;317;2998;2711;26008;1.8;314
150310;143;1648;1557;12906;1.6;143
150320;242;1796;1616;10255;1.4;240
150330;302;3633;3465;28572;1.6;297
150340;35;550;521;4189;1.6;35
150345;87;1615;1543;21419;2.6;86
150350;71;1238;1170;9065;1.5;71
150360;1193;7353;6101;78139;2.2;1158
150370;234;1985;1779;19220;2;233
150375;35;653;633;6949;2;35
150380;455;5062;4465;40781;1.8;452
150390;318;3641;3383;47013;2.7;316
150400;42;686;655;5065;1.5;42
150405;246;2043;1806;16356;1.6;240
150410;28;216;211;1782;1.6;27
150420;2852;34609;30981;403470;2.3;2734
150430;95;1262;1212;10395;1.4;94
150440;122;975;901;8862;1.9;120
150442;566;11486;10817;105192;1.8;552
150445;126;981;865;9482;2.1;124
150450;29;801;772;9478;2.1;29
150460;142;777;649;6446;1.9;141
150470;259;5251;4970;50909;2;257
150480;524;3171;2750;24658;1.9;516
150490;56;910;849;8450;1.8;56
150495;46;705;676;6104;1.6;46
150497;70;875;797;7748;1.8;70
150500;46;674;628;4976;1.6;46
150503;567;1924;1315;18392;1.9;560
150506;368;3600;3104;40788;2.1;365
150510;465;2556;2201;20935;1.6;446
150520;135;97;32;316;1.8;134
150530;497;8175;7622;126104;3.1;482
150540;127;207;121;5285;1.7;127
150543;315;4893;4535;71776;3.2;312
150548;245;2067;1824;17360;1.9;243
150549;46;317;274;1841;1.3;45
150550;1267;15354;13530;126341;1.7;1243
150553;1818;41400;39629;595206;2.8;1769
150555;52;582;546;4995;1.7;52
150560;30;191;179;2959;3;30
150563;71;903;756;8850;2.1;70
150565;51;848;783;6410;1.7;49
150570;134;883;838;8267;1.4;133
150580;280;2445;2085;25952;2.1;270
150590;116;1457;1334;11947;1.7;116
150600;89;1052;1011;10459;2;88
150610;38;397;370;3875;1.9;38
150611;25;535;508;4357;1.6;25
150613;1349;9953;8429;97687;2.2;1308
150616;246;1748;1508;14618;1.8;239
150618;656;4488;3785;36814;1.8;652
150619;148;1613;1490;13623;1.8;145
150620;370;2365;1964;16850;1.6;362
150630;98;783;694;8239;1.4;98
150635;93;1329;1254;11085;1.6;92
150640;8;162;160;1016;1.1;8
150650;441;5564;5138;51634;1.9;433
150655;84;171;106;1050;1.9;82
150658;112;1290;1233;10934;2;110
150660;197;1206;1078;9455;1.7;197
150670;419;3797;3421;41091;2.2;412
150680;3818;34151;29655;308637;2;3635
150690;12;409;393;3096;1.5;12
150700;144;1164;1063;8992;1.6;138
150710;40;378;359;3502;1.4;40
150715;58;1043;1010;9090;1.7;58
150720;99;1182;1113;10939;1.7;98
150730;607;3416;2298;26318;2;603
150740;66;665;615;4244;1.3;66
150745;214;2037;1715;17460;1.9;213
150746;6;216;214;1792;1.6;6
150747;71;855;794;6969;1.6;71
150750;14;48;34;2059;1.3;14
150760;426;4855;4450;32484;1.4;422
150770;72;835;748;6867;1.4;72
150775;30;309;281;3142;2.1;30
150780;72;566;507;7195;2.2;72
150790;170;1237;1022;9588;1.8;165
150795;487;7879;7241;74285;2;485
150796;30;414;391;3171;1.5;29
150797;149;881;782;5879;1.4;145
150800;426;4280;3800;37160;1.9;413
150803;87;1057;996;9329;1.8;86
150805;81;484;360;5168;1.9;79
150808;453;3382;2779;29111;2;450
150810;853;15807;14651;300115;3.8;825
150812;188;2716;2526;28210;1.9;185
150815;270;2822;2564;26345;2;266
150820;325;2389;2098;20140;1.7;324
150830;179;1878;1774;16797;1.8;176
150835;50;566;519;5261;1.9;50
150840;556;5434;4795;49466;2;546
160005;39;369;335;5616;2.6;39
160010;62;333;289;3489;2.1;62
160015;42;1603;1572;48165;5.5;42
160020;62;363;320;2636;1.5;61
160021;16;297;293;2078;1.4;16
160023;34;429;410;4360;2.2;34
160025;20;216;211;2068;1.5;19
160027;401;2255;1860;18078;1.8;396
160030;5037;84230;78900;1874922;4.6;4727
160040;100;1040;983;10616;2.3;99
160050;254;716;464;3930;1.6;247
160053;99;1432;1367;15881;2;99
160055;14;266;260;1708;1.3;14
160060;925;5606;4699;61517;2.4;887
160070;45;631;614;11873;2.6;45
160080;74;425;335;3921;1.9;73
170025;14;168;154;1624;1.6;14
170030;34;839;801;6391;1.7;34
170035;86;420;344;3035;1.7;85
170040;93;333;260;2282;1.6;93
170070;261;1238;947;7385;1.5;260
170100;135;657;515;4063;1.4;135
170105;16;183;168;1345;1.4;16
170110;44;217;175;1659;1.5;44
170130;36;217;178;1282;1.3;36
170190;67;399;347;2879;1.3;66
170200;221;965;747;6701;1.6;221
170210;3013;24158;20739;246798;2.3;2914
170215;42;249;210;2787;1.7;42
170220;358;2142;1828;21526;2.3;353
170230;115;612;517;4062;1.5;113
170240;151;984;827;8567;1.8;149
170255;264;1176;885;7939;1.7;264
170270;41;183;149;918;1.2;41
170290;93;611;532;5454;1.8;93
170300;59;646;615;5813;1.8;59
170305;24;293;268;3234;2.2;24
170307;20;56;43;451;1.8;19
170310;59;349;295;2509;1.4;58
170320;43;241;210;3600;1.9;43
170330;21;211;196;1289;1.3;21
170360;24;227;210;1813;1.7;24
170370;68;443;391;3549;1.8;68
170380;73;310;258;1465;1.1;73
170382;16;96;86;588;1.3;16
170384;71;457;407;3263;1.5;70
170386;39;427;404;4049;1.9;39
170388;20;183;168;1199;1.3;20
170389;28;175;148;1349;1.5;28
170390;43;369;328;2311;1.5;43
170410;15;139;131;785;1.2;14
170460;7;98;91;619;1.3;7
170510;19;182;166;2063;1.7;19
170550;584;3067;2511;23513;1.8;572
170555;116;255;134;1043;1.5;116
170560;50;271;224;1598;1.3;47
170600;35;204;179;2035;2;35
170610;172;726;536;4102;1.4;169
170625;16;139;132;863;1.4;16
170650;37;328;294;1770;1.4;37
170700;351;2066;1692;22180;2.2;337
170710;100;556;444;3871;1.7;100
170720;48;365;325;2546;1.4;48
170730;53;342;299;2498;1.6;53
170740;53;390;342;2498;1.4;53
170755;42;320;288;2543;1.6;42
170765;78;468;394;4099;1.8;78
170770;55;442;396;3518;1.6;51
170820;312;1869;1546;19323;2.3;306
170825;46;378;336;4077;2;45
170830;25;102;84;640;1.5;25
170900;55;600;540;4385;1.5;55
170930;725;3122;2372;23283;2;708
170950;2053;13377;11003;124484;2.2;1984
170980;19;121;106;796;1.3;19
171050;46;376;338;2798;1.7;46
171070;45;292;256;2506;1.9;44
171090;24;191;176;1613;1.8;24
171110;39;223;188;1489;1.3;39
171150;47;300;254;2509;1.9;46
171180;15;124;117;913;1.5;15
171190;144;915;753;7725;2.2;143
171195;22;239;225;1908;1.7;22
171200;82;466;370;3736;1.9;82
171215;11;75;66;264;0.8;11
171240;18;85;64;623;1.6;18
171245;21;186;171;1550;1.8;21
171250;34;384;342;3754;2;34
171270;20;156;143;1240;1.7;20
171280;14;188;181;1381;1.5;14
171320;346;3040;2719;39124;2.7;339
171330;230;1043;807;7600;1.6;229
171360;31;347;326;2206;1.4;31
171370;13;159;147;1125;1.4;13
171380;34;238;205;1785;1.7;34
171395;23;187;176;1184;1.3;23
171420;152;775;585;5320;1.7;152
171430;27;184;164;1127;1.3;27
171488;125;883;781;7952;1.5;125
171500;31;195;169;1645;1.6;31
171510;16;205;193;1834;1.5;16
171515;39;126;91;668;1.4;39
171525;13;258;242;2239;1.8;12
171550;11;158;152;994;1.2;11
171570;27;510;486;9815;3.8;27
171575;128;665;527;4581;1.7;128
171610;1123;7331;5850;56757;1.8;1101
171620;69;612;543;5369;1.9;68
171630;45;223;189;2223;1.7;45
171650;302;1204;900;10825;2.2;297
171660;116;893;795;8056;1.7;115
171665;32;273;251;2139;1.7;32
171670;136;834;718;5830;1.5;136
171700;36;197;171;1403;1.5;36
171720;10;136;129;799;1.2;10
171750;92;431;335;3779;1.5;92
171780;36;254;227;1686;1.4;35
171790;59;394;344;2778;1.5;59
171800;16;177;160;1131;1.4;16
171820;1031;5373;4240;47706;2.1;1019
171830;43;269;237;1798;1.5;43
171840;66;295;245;2381;1.8;66
171845;23;248;218;1969;1.5;23
171850;20;210;195;1696;1.7;20
171855;23;224;199;1394;1.2;23
171865;16;188;180;1453;1.5;16
171870;24;209;184;1357;1.4;24
171875;50;258;216;2097;1.7;50
171880;36;160;120;811;1.3;36
171884;48;265;221;1863;1.7;48
171886;83;407;328;3144;1.5;83
171888;25;200;178;1622;1.7;25
171889;14;166;153;1267;1.6;14
171890;41;287;248;2656;1.7;41
171900;21;185;169;1259;1.4;21
172000;21;247;222;3179;2.6;21
172010;33;140;115;872;1.2;33
172015;6;120;119;771;1.3;6
172020;25;430;410;3208;1.4;24
172025;46;857;814;27806;3.2;46
172030;33;275;257;1548;1.2;33
172049;49;383;339;3057;1.7;49
172065;77;446;363;3341;1.7;77
172080;47;337;301;2174;1.4;47
172085;9;203;199;1389;1.4;9
172090;158;921;755;9333;2.2;157
172093;13;168;156;1169;1.4;13
172097;36;335;294;2584;1.6;36
172100;5442;108901;103166;1994346;3.7;5165
172110;47;446;412;3037;1.5;47
172120;301;1681;1376;11757;1.6;296
172125;13;218;214;1861;1.4;13
172130;23;333;318;10604;6.2;23
172208;77;553;486;5192;2;75
172210;150;764;640;6450;1.9;150
210005;1201;16545;15304;193330;2.2;1184
210010;9;8;3;43;2.7;9
210015;59;291;244;809;0.6;59
210020;114;735;669;5419;1.6;114
210030;95;1457;1393;10309;1.4;94
210040;27;126;110;750;1.3;27
210043;111;908;833;5671;1.3;111
210047;119;750;637;1920;0.6;119
210050;159;235;100;1630;3.2;159
210055;36;207;179;1498;1.6;36
210060;106;261;166;1181;1.4;106
210070;87;648;571;5080;1.7;87
210080;90;495;428;2649;1.2;89
210083;59;497;456;2990;1.3;59
210087;43;240;210;1304;1.2;43
210090;147;1317;1152;7102;1.2;147
210095;117;323;222;1570;1.4;117
210100;224;1030;842;5135;1.2;224
210110;51;352;307;1686;1;51
210120;1259;6665;5389;43531;1.6;1239
210125;58;792;719;10029;2.2;57
210130;71;566;519;3722;1.4;71
210135;12;219;214;1851;1.6;12
210140;1666;12166;10527;112958;2.1;1618
210150;103;872;776;6096;1.5;103
210160;922;4396;3407;29068;1.7;911
210170;340;923;675;4685;1.3;337
210173;12;133;124;619;0.9;12
210177;37;29;18;111;1.5;37
210180;16;400;367;2117;1.2;16
210190;86;446;364;2289;1.2;83
210193;23;180;161;1478;1.6;23
210197;28;295;279;2820;1.5;28
210200;198;1046;837;6526;1.4;197
210203;131;1000;892;7549;1.7;131
210207;45;242;208;1139;1;45
210210;305;1281;947;7109;1.5;302
210215;14;201;190;853;0.8;14
210220;97;772;682;5163;1.6;96
210230;160;430;317;2604;1.5;160
210232;540;2866;2393;19541;1.6;539
210235;57;558;465;3291;1.3;57
210237;17;180;166;889;1;17
210240;26;241;226;1285;1.1;26
210250;35;416;396;2330;1.1;35
210255;174;1212;1075;16229;1.9;173
210260;114;583;486;2620;1;114
210270;84;686;607;5127;1.6;84
210275;26;475;457;3840;1.6;26
210280;275;2063;1831;17322;1.8;265
210290;145;871;730;6646;1.6;144
210300;1540;12653;11113;90236;1.5;1508
210310;39;219;193;1101;1.1;39
210312;27;295;278;1491;1;27
210315;34;48;20;183;1.7;34
210317;81;671;617;5899;1.9;81
210320;635;4466;3790;34561;1.9;625
210325;77;868;811;5676;1.5;77
210330;875;6341;5477;48174;1.7;856
210340;305;3140;2858;38242;2.1;303
210350;251;1224;978;7504;1.5;250
210355;28;128;111;501;0.9;28
210360;375;3049;2757;20282;1.4;365
210370;217;1309;1102;11551;2;216
210375;42;344;298;2399;1.6;42
210380;251;1426;1194;6718;1.1;248
210390;26;450;430;4233;2.1;26
210400;198;942;679;4762;1.4;197
210405;422;6970;6609;73476;3;415
210407;27;320;302;2739;1.7;27
210408;15;165;144;802;1.2;15
210409;91;508;453;2276;1.1;91
210410;126;593;472;3107;1.2;125
210420;112;481;402;2599;1.2;111
210430;24;261;248;3852;1.9;24
210440;52;390;350;2930;1.7;52
210450;55;288;265;1682;1.3;55
210455;80;1017;941;7390;1.5;80
210460;22;486;472;3431;1.4;22
210462;39;253;245;2079;1.7;39
210465;29;31;1;42;7.8;29
210467;153;635;510;6551;1.4;153
210470;26;148;128;762;1.1;26
210480;680;4183;3599;26397;1.5;673
210490;50;306;275;1746;1.2;50
210500;39;262;229;1417;1.1;39
210510;32;488;463;7677;1.9;32
210515;59;742;715;4410;1.2;59
210520;53;412;371;3011;1.5;53
210530;5511;40730;34256;335234;1.9;5258
210535;27;132;106;738;1.3;27
210540;624;4295;3895;30103;1.6;622
210542;263;1954;1689;15902;1.8;262
210545;8;282;277;1823;1.3;8
210547;63;334;287;1545;1;63
210550;160;1359;1120;8554;1.4;157
210560;35;505;474;4101;1.6;34
210565;25;123;110;645;1.1;25
210570;589;1905;1377;10923;1.5;588
210580;48;253;227;1520;1.3;48
210590;61;374;329;2176;1.4;61
210592;43;257;222;1694;1.5;43
210594;33;324;300;1766;1.1;33
210596;71;242;166;948;1.1;71
210598;62;342;295;1736;1.1;62
210600;90;621;555;3866;1.4;90
210610;107;491;398;4306;2;105
210620;27;218;206;1608;1.5;27
210630;105;760;665;4412;1.2;105
210632;146;441;317;2137;1.3;146
210635;21;81;71;589;1.5;21
210637;29;300;283;2553;1;29
210640;58;535;473;2622;1;58
210650;56;1029;978;6083;1.2;56
210660;116;1229;1148;9148;1.6;116
210663;15;126;115;618;1;15
210667;10;221;204;1283;1.2;10
210670;120;588;431;2183;1;120
210675;108;756;661;4881;1.4;107
210680;169;421;321;1990;1.2;169
210690;107;281;206;1256;1.2;107
210700;65;266;190;1437;1.4;65
210710;59;470;428;2511;1.1;59
210720;24;11;2;40;3.8;24
210725;26;234;211;1341;1.2;26
210730;19;118;103;590;1.1;19
210735;70;841;776;2498;0.6;70
210740;119;666;556;3299;1.1;118
210745;33;405;387;2074;1;33
210750;708;4385;3574;35388;1.6;706
210760;39;391;369;2006;1;38
210770;154;750;619;3713;1.1;154
210780;172;1741;1597;9843;1.2;172
210790;157;454;301;2335;1.5;155
210800;95;629;532;3291;1.2;94
210805;49;29;3;21;1.3;49
210810;110;168;65;633;2;110
210820;727;3986;3339;28917;1.7;717
210825;70;604;587;4251;1.4;70
210830;75;837;774;5926;1.4;75
210840;15;230;221;1648;1.4;15
210845;118;789;702;5217;1.5;115
210850;141;1308;1205;14531;2.3;141
210860;741;3881;3272;29835;1.7;730
210870;178;1224;1098;6252;1.1;178
210880;56;546;454;3488;1.4;56
210890;100;909;827;9371;1.9;100
210900;465;1825;1436;15901;2.2;459
210905;18;183;181;1291;1.3;18
210910;704;3365;2655;26258;2;700
210920;19;495;479;4008;2.2;19
210923;33;155;134;2311;1.2;33
210927;42;485;471;2774;1.1;42
210930;49;392;367;2710;1.4;48
210940;12;369;362;1829;0.9;12
210945;158;778;597;4844;1.6;158
210950;156;807;708;5137;1.4;153
210955;33;280;250;2126;1.6;33
210960;239;2470;2256;13271;1.1;239
210970;49;309;277;3236;2.1;49
210975;18;111;88;425;0.9;18
210980;188;658;462;8423;1.4;188
210990;1261;8432;7165;55675;1.5;1235
211000;416;2420;2189;22072;1.9;411
211003;170;981;836;4906;1.1;170
211010;112;411;293;2202;1.5;112
211020;132;795;673;4360;1.3;132
211023;64;214;182;996;1;64
211027;23;219;203;1071;1;23
211030;86;525;445;3082;1.4;86
211040;65;426;362;1944;1;65
211050;209;2289;2160;60768;5.4;206
211060;318;1444;1018;6078;1.1;317
211065;41;141;109;914;1.7;40
211070;215;483;275;1923;1.6;213
211080;16;155;142;1055;1.4;16
211085;40;363;330;3224;2.1;40
211090;26;455;438;3459;1.5;26
211100;42;349;314;2410;1.4;42
211102;28;1101;1077;2871;0.5;28
211105;134;469;358;2625;1.2;133
211107;38;417;387;2097;1;37
211110;345;1462;1122;7798;1.3;345
211120;1186;8902;7502;61357;1.6;1176
211125;16;203;183;1426;1.5;16
211130;17744;297338;276446;4620896;3.2;16899
211140;65;513;473;2759;1.1;65
211150;302;1221;1023;6638;1.2;299
211153;75;260;197;1278;1.2;75
211157;34;257;229;2296;1.7;34
211160;279;2243;1986;28510;2.8;277
211163;29;315;309;1680;1;29
211167;18;14;0;16;0;18
211170;129;537;451;2572;1.1;129
211172;33;145;132;946;1.3;33
211174;12;283;275;2625;1.2;12
211176;74;684;592;6093;2;73
211178;40;16;5;42;1.3;40
211180;137;820;684;7355;1.7;137
211190;43;302;272;1466;1;43
211195;35;127;101;704;1.4;35
211200;53;819;765;9026;2.4;52
211210;121;693;625;4390;1.4;120
211220;1219;11793;10622;101928;1.8;1195
211223;179;1257;1068;7233;1.3;178
211227;16;254;251;1940;1.5;16
211230;229;768;559;3255;1.1;229
211240;130;214;102;707;1.4;130
211245;31;271;226;3107;1.4;31
211250;368;4329;4019;15437;0.7;366
211260;148;837;699;6108;1.4;147
211270;248;1437;1284;11178;1.7;245
211280;543;1735;1303;12586;1.8;541
211285;27;436;415;5255;2.1;27
211290;163;1168;1066;6664;1.2;162
211300;254;1253;1080;7153;1.3;253
211400;440;2240;1862;16653;1.7;439
220005;63;232;218;2140;1.8;63
220010;31;148;137;924;1.3;31
220020;235;1080;841;7406;1.7;234
220025;55;227;183;1538;1.6;55
220027;41;177;139;1455;2;40
220030;68;431;373;3061;1.5;68
220040;346;2116;1816;16050;1.7;338
220045;65;525;248;2552;1.6;61
220050;160;793;630;5725;1.8;159
220060;78;260;176;1534;1.7;78
220070;99;234;162;1349;1.6;97
220080;30;265;233;2616;2;30
220090;53;451;416;2579;1.3;52
220095;12;82;75;421;1.2;12
220100;46;190;155;1182;1.4;46
220105;25;408;389;2132;1.2;25
220110;86;439;353;2534;1.4;86
220115;102;452;353;3998;2.2;101
220117;32;159;133;831;1.2;32
220120;510;2131;1637;11840;1.4;502
220130;14;108;98;816;1.6;14
220140;73;418;343;1952;1.1;72
220150;298;1086;901;7574;1.6;295
220155;51;163;146;1178;1.4;51
220157;13;51;32;326;1.9;13
220160;81;368;308;2333;1.5;80
220170;58;284;240;2113;1.7;57
220173;47;251;238;1715;1.4;47
220177;37;205;177;991;1.1;37
220180;39;130;113;632;1.1;39
220190;412;1572;1141;9695;1.7;401
220191;27;303;282;1492;1;27
220192;46;36;23;135;1.1;46
220194;25;232;215;1503;1.3;25
220196;54;249;219;1957;1.7;54
220198;24;227;208;1458;1.5;24
220200;135;770;662;5394;1.5;131
220202;46;276;248;2172;1.7;46
220205;71;311;278;2913;1.7;71
220207;10;144;135;973;1.4;10
220208;40;430;390;3069;1.5;39
220209;32;140;116;1219;2.1;32
220210;85;272;224;1862;1.7;85
220211;40;158;129;928;1.4;39
220213;68;299;257;2132;1.6;68
220217;21;182;173;1012;1.1;21
220220;571;3589;3026;22369;1.4;551
220225;17;73;60;412;1.3;17
220230;237;1237;997;10452;1.6;228
220240;56;363;314;2016;1.2;56
220245;34;158;131;818;1.2;34
220250;90;226;158;1269;1.6;86
220253;17;173;153;1252;1.5;17
220255;40;276;241;2117;1.7;39
220260;221;1098;924;7295;1.5;219
220265;16;181;170;1440;1.6;15
220270;175;812;665;3879;1.1;172
220271;32;316;294;2646;1.7;32
220272;20;221;204;1076;1;20
220273;13;177;172;1456;1.6;13
220275;103;298;200;1651;1.6;103
220277;48;448;220;1285;1.1;48
220280;43;146;117;812;1.3;43
220285;27;233;222;1436;1.2;27
220290;420;1797;1407;10581;1.5;404
220300;39;140;111;1041;1.8;39
220310;191;525;338;2521;1.4;188
220320;139;843;729;2848;0.8;138
220323;13;83;65;437;1.3;13
220325;36;72;68;598;1.7;36
220327;19;130;123;1568;2.4;19
220330;135;422;310;1684;1.1;133
220335;67;333;286;1993;1.3;67
220340;65;330;271;1921;1.4;63
220342;11;167;161;1529;1.8;11
220345;77;301;246;1771;1.4;76
220350;168;579;433;3224;1.4;164
220360;47;230;199;1894;1.9;47
220370;536;2101;1669;13139;1.5;524
220375;28;181;173;848;0.9;28
220380;27;200;184;1069;1.1;27
220385;10;162;136;1095;1.5;10
220390;1331;7678;6204;58674;1.8;1276
220400;20;215;203;1660;1.5;20
220410;34;172;139;1074;1.4;34
220415;26;135;112;1008;1.9;26
220420;87;124;60;589;1.8;87
220430;147;1280;1054;12273;2.2;146
220435;30;176;161;1044;1.3;30
